uriPer,labelPer,birthYear,uriPlace,labelPlace,geometry
http://www.wikidata.org/entity/Q119152362,Terence P. Amerasinghe,1917,http://www.wikidata.org/entity/Q854,Sri Lanka,Point(81.0 7.0)
http://www.wikidata.org/entity/Q121834265,Hiroko Nakamoto,1930,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q122925708,Cecile Booysen,1895,http://www.wikidata.org/entity/Q258,South Africa,Point(24.0 -29.0)
http://www.wikidata.org/entity/Q16661270,Lou Marin,1961,http://www.wikidata.org/entity/Q183,Germany,Point(10.0 51.0)
http://www.wikidata.org/entity/Q23802321,Hagar Rublev,1954,http://www.wikidata.org/entity/Q801,Israel,Point(35.0 31.0)
http://www.wikidata.org/entity/Q32663033,Simone Tanner-Chaumet,1916,http://www.wikidata.org/entity/Q142,France,Point(2.0 47.0)
http://www.wikidata.org/entity/Q3555475,Veneranda Nzambazamariya,1958,http://www.wikidata.org/entity/Q1037,Rwanda,Point(30.0 -2.0)
http://www.wikidata.org/entity/Q482708,Ham Seok-heon,1901,http://www.wikidata.org/entity/Q423,North Korea,Point(127.0 40.0)
http://www.wikidata.org/entity/Q520201,Florence Beaumont,1912,http://www.wikidata.org/entity/Q30,United States,Point(-98.5795 39.828175)
http://www.wikidata.org/entity/Q5241404,David Zeiger,1950,http://www.wikidata.org/entity/Q30,United States,Point(-98.5795 39.828175)
http://www.wikidata.org/entity/Q5436805,Fasih Bokhari,1942,http://www.wikidata.org/entity/Q129286,British Raj,Point(88.337777777 22.541111111)
http://www.wikidata.org/entity/Q55606238,Hajer Al-Sharief,1994,http://www.wikidata.org/entity/Q1016,Libya,Point(17.0 27.0)
http://www.wikidata.org/entity/Q70406531,Graziella Sonnino,1884,http://www.wikidata.org/entity/Q38,Italy,Point(12.5 42.5)
http://www.wikidata.org/entity/Q7052438,Norman Kember,1931,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q7324266,Richard Boston,1938,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q742079,Michael Albert,1947,http://www.wikidata.org/entity/Q30,United States,Point(-98.5795 39.828175)
http://www.wikidata.org/entity/Q78874675,Christine Ahn,1950,http://www.wikidata.org/entity/Q884,South Korea,Point(128.0 36.0)
http://www.wikidata.org/entity/Q96324232,Marjorie Bradford Melville,1929,http://www.wikidata.org/entity/Q96,Mexico,Point(-102.0 23.0)
